,machine,time,event,est_time,next_setup_type,current_setup_type,load_item,manufacturing,setup,idle,repair,item_in_input,item_in_machine,item_in_output
57,140383847074688,103.85306183703285,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847073728.0,140383847391040.0
58,140383847074688,105.8197285036995,item_stored,,,140383846907520.0,0,1,0,0,0,140383847075504.0,140383847073728.0,
59,140383847074688,109.85306183703285,production_end,,,140383846907520.0,0,0,0,1,0,140383847075504.0,140383847073728.0,
60,140383847074688,109.85306183703285,release_item_start,,,140383846907520.0,0,0,0,0,0,140383847075504.0,140383847073728.0,
61,140383847074688,109.95306183703285,release_item_end,,,140383846907520.0,0,0,0,1,0,140383847075504.0,,140383847073728.0
62,140383847074688,109.95306183703285,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847075504.0,,140383847073728.0
63,140383847074688,110.05306183703284,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847075504.0,
64,140383847074688,110.05306183703284,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847075504.0,
65,140383847074688,111.68639517036615,item_stored,,,140383846907520.0,0,1,0,0,0,140383847075552.0,140383847075504.0,
66,140383847074688,116.05306183703284,production_end,,,140383846907520.0,0,0,0,1,0,140383847075552.0,140383847075504.0,
67,140383847074688,116.05306183703284,release_item_start,,,140383846907520.0,0,0,0,0,0,140383847075552.0,140383847075504.0,
68,140383847074688,116.15306183703284,release_item_end,,,140383846907520.0,0,0,0,1,0,140383847075552.0,,140383847075504.0
69,140383847074688,116.15306183703284,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847075552.0,,140383847075504.0
70,140383847074688,116.25306183703283,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847075552.0,140383847075504.0
71,140383847074688,116.25306183703283,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847075552.0,140383847075504.0
72,140383847074688,118.21972850369947,item_stored,,,140383846907520.0,0,1,0,0,0,140383847390704.0,140383847075552.0,
73,140383847074688,122.25306183703283,production_end,,,140383846907520.0,0,0,0,1,0,140383847390704.0,140383847075552.0,
74,140383847074688,122.25306183703283,release_item_start,,,140383846907520.0,0,0,0,0,0,140383847390704.0,140383847075552.0,
75,140383847074688,122.35306183703283,release_item_end,,,140383846907520.0,0,0,0,1,0,140383847390704.0,,140383847075552.0
76,140383847074688,122.35306183703283,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847390704.0,,140383847075552.0
77,140383847074688,122.45306183703282,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847390704.0,
78,140383847074688,122.45306183703282,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847390704.0,
79,140383847074688,125.68888888888887,item_stored,,,140383846907520.0,0,1,0,0,0,140383847075408.0,140383847390704.0,
80,140383847074688,128.4530618370328,production_end,,,140383846907520.0,0,0,0,1,0,140383847075408.0,140383847390704.0,
81,140383847074688,128.4530618370328,release_item_start,,,140383846907520.0,0,0,0,0,0,140383847075408.0,140383847390704.0,
82,140383847074688,128.5530618370328,release_item_end,,,140383846907520.0,0,0,0,1,0,140383847075408.0,,140383847390704.0
83,140383847074688,128.5530618370328,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847075408.0,,140383847390704.0
84,140383847074688,128.6530618370328,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847075408.0,
85,140383847074688,128.6530618370328,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847075408.0,
86,140383847074688,134.6530618370328,production_end,,,140383846907520.0,0,0,0,1,0,,140383847075408.0,
87,140383847074688,134.6530618370328,release_item_start,,,140383846907520.0,0,0,0,0,0,,140383847075408.0,
88,140383847074688,134.7530618370328,release_item_end,,,140383846907520.0,0,0,0,1,0,,,140383847075408.0
89,140383847074688,137.31972850369942,item_stored,,,140383846907520.0,0,0,0,1,0,140383847389648.0,,
90,140383847074688,137.31972850369942,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847389648.0,,
91,140383847074688,137.41972850369942,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847389648.0,
92,140383847074688,137.41972850369942,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847389648.0,
