,buffer,time,event,event_item,full,items_in_storage
92,140649311008800,29.81000000000002,item_picked_up,140649312700736.0,0,0
93,140649311010768,29.980000000000004,item_picked_up,140649313480320.0,0,0
94,140649310988128,30.31333333333334,item_stored,140649313480320.0,0,1
95,140649310988128,30.546666666666674,item_picked_up,140649313480320.0,0,0
96,140649311007408,31.940000000000023,item_stored,140649312699728.0,1,1
97,140649311007408,32.28000000000002,item_picked_up,140649312699728.0,0,0
98,140649311047536,32.4,order_arrival,,0,1
99,140649311046144,32.54666666666669,item_stored,140649312699728.0,0,1
100,140649311047536,32.86666666666667,item_picked_up,140649313426736.0,0,0
101,140649311046144,33.04000000000002,item_picked_up,140649312699728.0,0,0
102,140649311010768,33.233333333333334,item_stored,140649313426736.0,0,1
103,140649311064560,33.50666666666669,item_stored,140649312699728.0,0,0
104,140649311010768,33.56666666666667,item_picked_up,140649313426736.0,0,0
105,140649310988128,33.900000000000006,item_stored,140649313426736.0,0,1
106,140649310988128,34.06666666666668,item_picked_up,140649313426736.0,0,0
107,140649312699584,34.30000000000001,item_stored,140649313426736.0,0,1
108,140649311009376,34.800000000000026,item_stored,140649312700736.0,1,1
109,140649311009376,35.06666666666669,item_picked_up,140649312700736.0,0,0
110,140649311046144,35.33333333333336,item_stored,140649312700736.0,0,1
111,140649312699584,35.45333333333335,item_picked_up,140649313426736.0,0,0
112,140649311046144,35.82666666666669,item_picked_up,140649312700736.0,0,0
113,140649311047536,36.0,order_arrival,,0,1
114,140649311064560,36.29333333333336,item_stored,140649312700736.0,0,0
115,140649311047536,36.71333333333333,item_picked_up,140649310990000.0,0,0
116,140649311010768,37.08,item_stored,140649310990000.0,0,1
117,140649311010768,37.413333333333334,item_picked_up,140649310990000.0,0,0
118,140649312700832,37.71333333333334,item_stored,140649310990000.0,0,1
119,140649312700832,37.980000000000004,item_picked_up,140649310990000.0,0,0
120,140649312701552,38.68000000000001,item_stored,140649313767920.0,0,1
121,140649312701552,39.15333333333334,item_picked_up,140649313767920.0,0,0
122,140649311044176,39.45333333333335,item_stored,140649313767920.0,0,1
123,140649311047536,39.6,order_arrival,,0,1
124,140649311044176,39.820000000000014,item_picked_up,140649313767920.0,0,0
125,140649311047536,39.96666666666667,item_picked_up,140649313423760.0,0,0
126,140649311064560,40.18666666666668,item_stored,140649313767920.0,0,0
127,140649311010768,40.333333333333336,item_stored,140649313423760.0,0,1
128,140649311010768,40.78,item_picked_up,140649313423760.0,0,0
129,140649310988128,41.11333333333334,item_stored,140649313423760.0,0,1
130,140649310988128,41.28000000000001,item_picked_up,140649313423760.0,0,0
131,140649312699584,41.51333333333334,item_stored,140649313423760.0,0,1
132,140649312699584,41.846666666666685,item_stored,140649313480320.0,0,2
133,140649312699584,42.30000000000002,item_picked_up,140649313423760.0,0,1
134,140649311047536,43.2,order_arrival,,0,1
135,140649311047536,43.913333333333334,item_picked_up,140649312701168.0,0,0
136,140649311010768,44.28,item_stored,140649312701168.0,0,1
137,140649311010768,44.61333333333334,item_picked_up,140649312701168.0,0,0
138,140649310988128,44.94666666666667,item_stored,140649312701168.0,0,1
139,140649310988128,45.113333333333344,item_picked_up,140649312701168.0,0,0
140,140649312699584,45.34666666666668,item_stored,140649312701168.0,0,2
141,140649312701552,46.27333333333334,item_stored,140649315119168.0,0,1
142,140649312701552,46.56666666666668,item_picked_up,140649315119168.0,0,0
143,140649311047536,46.800000000000004,order_arrival,,0,1
144,140649311044176,46.86666666666668,item_stored,140649315119168.0,0,1
145,140649311047536,47.16666666666667,item_picked_up,140649313479888.0,0,0
146,140649311010768,47.53333333333334,item_stored,140649313479888.0,0,1
147,140649311044176,47.740000000000016,item_picked_up,140649315119168.0,0,0
148,140649311010768,47.980000000000004,item_picked_up,140649313479888.0,0,0
149,140649311045568,48.23333333333335,item_stored,140649315119168.0,0,1
150,140649312700832,48.28000000000001,item_stored,140649313479888.0,0,1
151,140649312699584,48.513333333333364,item_stored,140649313426736.0,1,3
152,140649312700832,48.546666666666674,item_picked_up,140649313479888.0,0,0
153,140649311045568,48.61333333333335,item_picked_up,140649315119168.0,0,0
154,140649311008800,48.88000000000002,item_stored,140649315119168.0,1,1
155,140649311008800,49.11333333333335,item_picked_up,140649315119168.0,0,0
156,140649312699584,49.28000000000002,item_picked_up,140649312701168.0,0,2
157,140649311047536,50.4,order_arrival,,0,1
158,140649311047536,50.766666666666666,item_picked_up,140649311008608.0,0,0
159,140649310988944,50.816895519695606,item_stored,140649310989520.0,0,1
160,140649310988944,51.11022885302894,item_picked_up,140649310989520.0,0,0
161,140649311010768,51.13333333333333,item_stored,140649311008608.0,0,1
162,140649311010768,51.233333333333334,item_picked_up,140649311008608.0,0,0
163,140649311044176,51.44356218636228,item_stored,140649310989520.0,0,1
164,140649312700832,51.53333333333334,item_stored,140649311008608.0,0,1
165,140649312699584,51.650228853028935,item_picked_up,140649313426736.0,0,1
166,140649312700832,51.73333333333334,item_picked_up,140649311008608.0,0,0
167,140649311044176,52.31689551969561,item_picked_up,140649310989520.0,0,0
168,140649311045568,52.810228853028946,item_stored,140649310989520.0,0,1
169,140649311045568,53.07689551969561,item_picked_up,140649310989520.0,0,0
170,140649311006832,53.34356218636228,item_stored,140649310989520.0,1,1
171,140649311006832,53.57689551969561,item_picked_up,140649310989520.0,0,0
172,140649311047536,54.0,order_arrival,,0,1
173,140649311009376,54.10333333333336,item_stored,140649315119168.0,1,1
174,140649311009376,54.443333333333364,item_picked_up,140649315119168.0,0,0
175,140649311047536,54.46666666666667,item_picked_up,140649310990240.0,0,0
176,140649311046144,54.71000000000003,item_stored,140649315119168.0,0,1
177,140649311010768,54.833333333333336,item_stored,140649310990240.0,0,1
178,140649312701552,54.95000000000002,item_stored,140649313425920.0,0,1
179,140649311010768,55.28,item_picked_up,140649310990240.0,0,0
180,140649311046144,55.38333333333336,item_picked_up,140649315119168.0,0,0
181,140649312701552,55.42333333333335,item_picked_up,140649313425920.0,0,0
182,140649312699584,55.49333333333337,item_stored,140649313423760.0,0,2
