0,12,x7fe533e4c8b0,1,250;0,0;0,2,[4],1
0,12,x7fe533e4c8b0,2,50;0,0;0,3,[5],1
0,12,x7fe533e4c8b0,3,97;16830380107376,0;0,3,[4],0
0,12,x7fe533e4c8b0,4,250;0,0;0,2,[4],2
0,12,x7fe533e4c8b0,5,-50;0,0;0,2,[4],0
0,12,x7fe533e4c8b0,6,250;0,0;0,2,[4],0
0,12,x7fe533e4c8b0,7,250;0,0;0,2,[10],1
0,12,x7fe533e4c8b0,8,550;0,2;0,5,[6],2
0,12,x7fe533e4c8b0,9,50;0,1;0,2,[1],2
0,12,x7fe533e4c8b0,10,149;88227026620456,1;0,5,[6],2
0,12,x7fe533e4c8b0,11,250;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,12,100;00013683249367,0;0,5,[4],0
0,12,x7fe533e4c8b0,13,250;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,14,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,15,-50;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,16,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,17,250;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,18,-183;0944104007009,0;0,5,[0],2
0,12,x7fe533e4c8b0,19,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,20,250;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,21,-32;850359410592276,0;0,5,[0],2
0,12,x7fe533e4c8b0,22,87;73488744574485,0;0,5,[4],0
0,12,x7fe533e4c8b0,23,250;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,24,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,25,250;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,26,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,27,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,28,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,29,950;0,2;0,2,[0],0
0,12,x7fe533e4c8b0,30,450;0,2;0,5,[1],2
0,12,x7fe533e4c8b0,31,699;8249092693023,2;0,5,[6],2
0,12,x7fe533e4c8b0,32,250;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,33,50;0,1;0,5,[1],2
0,12,x7fe533e4c8b0,34,-15;619026445356878,0;0,5,[0],2
0,12,x7fe533e4c8b0,35,250;0,0;0,5,[4],0
0,12,x7fe533e4c8b0,36,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,37,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,38,550;0,1;0,2,[0],2
0,12,x7fe533e4c8b0,39,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,40,-50;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,41,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,42,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,43,550;0,1;0,5,[4],2
0,12,x7fe533e4c8b0,44,50;0,0;0,2,[1],1
0,12,x7fe533e4c8b0,45,147;5869939884644,0;0,5,[6],1
0,12,x7fe533e4c8b0,46,250;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,47,-157;09133459241798,0;0,5,[0],2
0,12,x7fe533e4c8b0,48,186;76870909722106,0;0,5,[5],1
0,12,x7fe533e4c8b0,49,250;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,50,150;0612793609166,0;0,5,[6],1
0,12,x7fe533e4c8b0,51,750;0,2;0,2,[1],1
0,12,x7fe533e4c8b0,52,531;7591331627964,2;0,5,[0],2
0,12,x7fe533e4c8b0,53,185;14759145695922,0;0,5,[5],1
0,12,x7fe533e4c8b0,54,950;0,2;0,2,[0],0
0,12,x7fe533e4c8b0,55,700;1034933121347,2;0,5,[5],2
0,12,x7fe533e4c8b0,56,250;0,1;0,2,[0],2
0,12,x7fe533e4c8b0,57,101;1477885535223,0;0,5,[4],0
0,12,x7fe533e4c8b0,58,250;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,59,149;99961079837013,0;0,5,[6],1
0,12,x7fe533e4c8b0,60,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,61,950;0,2;0,5,[4],2
0,12,x7fe533e4c8b0,62,-50;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,63,360;2694876543213,1;0,5,[4],0
0,12,x7fe533e4c8b0,64,250;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,65,250;0,0;0,5,[4],0
0,12,x7fe533e4c8b0,66,250;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,67,99;99199441122524,0;0,5,[4],0
0,12,x7fe533e4c8b0,68,-50;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,69,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,70,950;0,2;0,2,[0],0
0,12,x7fe533e4c8b0,71,250;0,0;0,5,[4],0
0,12,x7fe533e4c8b0,72,50;0,0;0,2,[1],1
0,12,x7fe533e4c8b0,73,97;16830380107376,0;0,5,[4],0
0,12,x7fe533e4c8b0,74,50;0,0;0,2,[1],1
0,12,x7fe533e4c8b0,75,950;0,2;0,5,[4],0
0,12,x7fe533e4c8b0,76,-50;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,77,186;55964317571616,0;0,5,[4],1
0,12,x7fe533e4c8b0,78,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,79,135;4537191367021,0;0,5,[6],1
0,12,x7fe533e4c8b0,80,-50;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,81,105;13668772051949,0;0,5,[0],1
0,12,x7fe533e4c8b0,82,171;3435091207727,0;0,5,[4],1
0,12,x7fe533e4c8b0,83,450;0,2;0,2,[1],2
0,12,x7fe533e4c8b0,84,499;5331696967918,2;0,5,[6],2
0,12,x7fe533e4c8b0,85,550;0,1;0,2,[0],2
0,12,x7fe533e4c8b0,86,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,87,250;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,88,450;4115226337449,1;0,5,[5],1
0,12,x7fe533e4c8b0,89,750;0,2;0,2,[1],1
0,12,x7fe533e4c8b0,90,100;06441867084354,0;0,5,[4],0
0,12,x7fe533e4c8b0,91,-50;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,92,250;0,0;0,5,[4],0
0,12,x7fe533e4c8b0,93,250;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,94,140;5784360529872,0;0,5,[5],0
0,12,x7fe533e4c8b0,95,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,96,950;0,2;0,5,[4],2
0,12,x7fe533e4c8b0,97,50;0,0;0,2,[1],1
0,12,x7fe533e4c8b0,98,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,99,250;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,100,250;0,0;0,5,[4],0
0,12,x7fe533e4c8b0,101,-50;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,102,107;82592258796382,0;0,5,[0],1
0,12,x7fe533e4c8b0,103,97;16830380107376,0;0,5,[5],0
0,12,x7fe533e4c8b0,104,-50;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,105,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,106,250;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,107,-50;0,0;0,5,[4],0
0,12,x7fe533e4c8b0,108,250;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,109,-3;300696309133517,0;0,5,[0],2
0,12,x7fe533e4c8b0,110,180;67042689043168,0;0,5,[4],0
0,12,x7fe533e4c8b0,111,250;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,112,250;0,0;0,5,[4],0
0,12,x7fe533e4c8b0,113,250;0,1;0,2,[0],0
0,12,x7fe533e4c8b0,114,250;0,0;0,5,[4],0
0,12,x7fe533e4c8b0,115,250;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,116,250;0,0;0,5,[4],0
0,12,x7fe533e4c8b0,117,-50;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,118,152;9579269709038,0;0,5,[5],1
0,12,x7fe533e4c8b0,119,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,120,250;0,1;0,5,[4],0
0,12,x7fe533e4c8b0,121,550;0,1;0,2,[0],1
0,12,x7fe533e4c8b0,122,153;125,0;0,5,[5],1
0,12,x7fe533e4c8b0,123,250;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,124,274;81964062500015,1;0,5,[0],2
0,12,x7fe533e4c8b0,125,450;4115226337449,1;0,5,[5],1
0,12,x7fe533e4c8b0,126,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,127,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,128,250;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,129,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,130,-50;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,131,-35;48696964466055,0;0,5,[0],2
0,12,x7fe533e4c8b0,132,2;4748988824351654,0;0,5,[0],2
0,12,x7fe533e4c8b0,133,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,134,-50;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,135,250;0,0;0,5,[4],1
