3034,123.9,16.9,Produkt B
3053,105.7,0,Produkt D
3063,38.4,0,Produkt C
3066,49.4,0,Produkt A
3069,54.1,0,Produkt A
3077,137.6,30.6,Produkt B
3078,49.7,0,Produkt A
3118,37.9,0,Produkt A
3127,38.6,0,Produkt A
3168,32.8,0,Produkt A
3181,132.7,25.7,Produkt B
3191,37.8,0,Produkt A
3195,48.7,0,Produkt A
3199,148.0,41.0,Produkt B
3239,69.7,0,Produkt C
3256,33.5,0,Produkt A
3287,129.5,22.5,Produkt B
3293,106.6,0,Produkt B
3310,436.0,329.0,Produkt B
3343,30.0,0,Produkt C
3357,55.9,0,Produkt C
3380,57.5,0,Produkt C
3387,155.6,42.5,Produkt D
3434,63.1,0,Produkt A
3443,176.3,69.3,Produkt B
3469,247.1,140.1,Produkt B
3495,72.0,0,Produkt A
3502,55.4,0,Produkt A
3514,191.2,84.2,Produkt B
3515,82.4,0,Produkt C
3523,136.4,29.4,Produkt B
3562,170.1,63.1,Produkt B
3579,169.2,56.1,Produkt D
3580,169.8,62.8,Produkt B
3591,164.4,57.4,Produkt B
3592,188.2,81.2,Produkt B
3594,110.4,0,Produkt C
3612,129.5,23.1,Produkt A
3636,157.1,44.0,Produkt D
3653,98.2,0,Produkt A
3665,156.9,49.9,Produkt B
3674,156.8,49.9,Produkt B
3689,92.5,0,Produkt C
3731,147.1,40.1,Produkt B
3754,140.3,33.3,Produkt B
3764,130.2,23.2,Produkt B
3797,148.1,41.1,Produkt B
3802,147.9,34.8,Produkt D
3819,106.7,0.3,Produkt A
3823,137.4,24.3,Produkt D
3833,132.8,25.8,Produkt B
3856,124.2,11.0,Produkt D
3891,159.3,52.4,Produkt B
3900,72.1,0,Produkt C
3926,80.4,0,Produkt A
3932,144.4,37.4,Produkt B
3933,100.6,0,Produkt C
3934,170.7,63.6,Produkt B
3952,94.5,0,Produkt A
3961,85.0,0,Produkt A
3965,90.3,0,Produkt A
3967,105.6,0,Produkt C
3978,101.2,0,Produkt A
3985,177.6,71.2,Produkt A
4005,48.1,0,Produkt B
4030,144.9,38.5,Produkt A
4064,94.2,0,Produkt D
4101,85.0,0,Produkt B
4103,83.9,0,Produkt C
4110,310.3,203.3,Produkt B
4111,127.6,14.5,Produkt D
4114,118.3,11.3,Produkt B
4130,124.9,11.8,Produkt D
4141,108.9,0,Produkt C
4154,145.0,38.0,Produkt B
4185,111.9,4.9,Produkt B
4202,167.5,54.4,Produkt D
4222,159.8,52.8,Produkt B
4224,125.8,19.5,Produkt A
4229,70.7,0,Produkt A
4238,146.0,39.0,Produkt B
4255,230.6,117.5,Produkt D
4271,122.6,15.6,Produkt B
4288,143.8,36.8,Produkt B
4289,72.8,0,Produkt A
4296,115.4,9.0,Produkt A
4298,126.0,19.6,Produkt A
4309,108.6,1.6,Produkt B
4311,94.0,0,Produkt A
4313,83.4,0,Produkt A
4355,93.3,0,Produkt C
4429,98.3,0,Produkt A
4434,76.6,0,Produkt A
4439,103.4,0,Produkt A
4444,84.4,0,Produkt C
4481,79.9,0,Produkt A
4488,110.7,4.3,Produkt A
4501,58.7,0,Produkt B
4510,68.8,0,Produkt D
4535,80.4,0,Produkt A
4566,64.3,0,Produkt A
4578,166.4,60.0,Produkt A
4580,27.2,0,Produkt B
4622,95.6,0,Produkt C
4665,171.8,65.4,Produkt A
4667,116.7,3.6,Produkt D
4712,106.2,0,Produkt B
4738,63.7,0,Produkt B
4743,58.3,0,Produkt B
4747,52.8,0,Produkt B
4754,60.9,0,Produkt B
4768,110.8,3.8,Produkt B
4780,71.2,0,Produkt B
4784,106.2,0,Produkt A
4794,63.4,0,Produkt B
4797,118.8,12.4,Produkt A
4811,84.8,0,Produkt A
4825,123.8,12.4,Produkt C
4900,65.6,0,Produkt A
4905,86.4,0,Produkt A
4914,206.2,93.1,Produkt D
4944,84.5,0,Produkt A
4952,101.2,0,Produkt B
4959,66.5,0,Produkt A
4966,101.2,0,Produkt A
4973,90.4,0,Produkt B
5010,96.2,0,Produkt B
5050,133.3,26.4,Produkt B
5054,237.1,130.7,Produkt A
5062,94.8,0,Produkt D
5137,107.5,1.1,Produkt A
5156,216.1,109.7,Produkt A
5167,212.3,105.9,Produkt A
5187,180.2,73.2,Produkt B
5190,163.1,50.0,Produkt D
5204,79.8,0,Produkt A
5206,122.0,15.6,Produkt A
5211,111.0,4.0,Produkt B
5227,106.5,0.1,Produkt A
5244,100.4,0,Produkt D
5248,91.4,0,Produkt A
5264,78.3,0,Produkt D
5288,79.4,0,Produkt B
5296,96.9,0,Produkt A
5302,74.6,0,Produkt C
5340,69.8,0,Produkt B
5343,75.5,0,Produkt A
5361,95.9,0,Produkt C
5386,85.2,0,Produkt A
5410,85.5,0,Produkt A
5411,95.9,0,Produkt A
5413,102.1,0,Produkt B
5424,106.3,0,Produkt C
5427,149.7,42.7,Produkt B
5431,70.3,0,Produkt A
5434,134.9,27.9,Produkt B
5449,78.7,0,Produkt C
5466,74.3,0,Produkt A
5472,123.0,16.6,Produkt A
5489,101.6,0,Produkt B
5500,80.0,0,Produkt B
5511,106.2,0,Produkt A
5532,95.5,0,Produkt A
5539,96.2,0,Produkt B
5551,161.8,54.8,Produkt B
5555,100.1,0,Produkt C
5577,62.6,0,Produkt C
5579,111.6,0,Produkt D
5607,187.0,80.0,Produkt B
5641,88.2,0,Produkt C
5667,100.7,0,Produkt A
5682,96.3,0,Produkt A
5691,90.6,0,Produkt A
5707,79.7,0,Produkt A
5716,90.4,0,Produkt A
5721,79.8,0,Produkt A
5732,80.5,0,Produkt B
5734,74.5,0,Produkt A
5744,81.6,0,Produkt B
5754,101.1,0,Produkt A
5755,100.2,0,Produkt A
5756,104.7,0,Produkt C
5782,108.9,0,Produkt C
5791,65.8,0,Produkt B
5804,74.7,0,Produkt B
5834,89.2,0,Produkt B
5848,107.4,0.4,Produkt B
5853,90.9,0,Produkt B
5892,108.8,0,Produkt C
5899,117.0,3.9,Produkt D
5941,91.0,0,Produkt C
5954,64.7,0,Produkt A
5958,85.6,0,Produkt C
5966,139.6,32.6,Produkt B
5972,93.2,0,Produkt A
5985,101.0,0,Produkt A
6043,142.9,35.9,Produkt B
6046,115.2,8.8,Produkt A
6047,125.7,14.3,Produkt C
6050,157.7,50.7,Produkt B
6054,178.6,71.6,Produkt B
6061,256.3,149.3,Produkt B
6083,151.8,44.8,Produkt B
6091,122.0,15.6,Produkt A
6117,224.2,117.2,Produkt B
6119,212.2,105.2,Produkt B
6152,191.5,85.1,Produkt A
6153,162.8,55.8,Produkt B
6160,69.0,0,Produkt C
6191,81.8,0,Produkt A
6200,86.5,0,Produkt A
6208,130.6,23.6,Produkt B
6216,54.3,0,Produkt C
6224,114.9,7.9,Produkt B
6244,98.4,0,Produkt A
6245,122.2,15.2,Produkt B
6261,153.9,46.9,Produkt B
6299,125.2,18.8,Produkt A
6312,152.0,45.0,Produkt B
6315,159.8,52.8,Produkt B
6319,162.2,55.1,Produkt B
6322,125.8,19.4,Produkt A
6340,125.1,18.1,Produkt B
6342,116.3,3.2,Produkt D
6344,90.3,0,Produkt A
6372,90.5,0,Produkt A
6392,58.3,0,Produkt A
6393,140.6,33.6,Produkt B
6397,94.9,0,Produkt C
6416,168.5,62.1,Produkt A
6425,166.7,53.6,Produkt D
6435,401.6,294.6,Produkt B
6436,151.7,44.7,Produkt B
6437,85.3,0,Produkt A
6442,177.5,71.1,Produkt A
6455,140.3,27.2,Produkt D
6462,135.2,22.1,Produkt D
6463,148.8,42.4,Produkt A
6473,127.0,20.0,Produkt B
6543,87.2,0,Produkt A
6545,84.9,0,Produkt A
6554,115.1,2.0,Produkt D
6555,69.0,0,Produkt A
6561,66.8,0,Produkt A
6577,85.9,0,Produkt A
6604,90.9,0,Produkt C
6610,100.4,0,Produkt D
6614,253.6,147.2,Produkt A
6639,78.5,0,Produkt A
6653,83.0,0,Produkt A
6675,169.5,58.1,Produkt C
6682,84.2,0,Produkt C
6689,128.2,21.8,Produkt A
6695,63.1,0,Produkt D
6706,85.1,0,Produkt A
6724,121.2,14.2,Produkt B
6738,98.3,0,Produkt B
6740,99.0,0,Produkt B
6759,104.2,0,Produkt D
6778,63.7,0,Produkt A
6790,48.0,0,Produkt D
6802,56.6,0,Produkt B
6822,61.9,0,Produkt D
6826,72.6,0,Produkt B
6881,27.8,0,Produkt B
6883,120.7,14.3,Produkt A
6884,88.9,0,Produkt A
6897,22.1,0,Produkt B
6920,97.0,0,Produkt A
6925,86.7,0,Produkt A
6930,31.6,0,Produkt D
6963,70.5,0,Produkt D
6979,75.9,0,Produkt C
7001,127.1,20.7,Produkt A
