1,1,1,0,0,0
6,4,3,0,1,0
21,12,10,0,2,0
31,12,11,0,1,0
34,14,13,0,1,0
39,14,14,0,0,0
44,16,15,0,1,0
49,17,16,0,1,0
64,22,20,0,2,0
69,23,20,0,3,0
72,21,18,0,3,0
79,22,18,0,4,0
90,23,17,0,6,0
91,23,17,0,6,0
96,25,20,0,5,0
100,25,19,0,6,0
103,26,20,0,6,0
104,26,20,0,6,0
106,26,20,0,6,0
111,28,21,0,7,0
116,28,22,0,6,0
117,29,23,0,6,0
120,30,24,0,6,0
122,31,25,0,6,0
129,32,25,0,7,0
131,31,25,0,6,0
136,31,25,0,6,0
137,32,25,0,7,0
138,32,25,0,7,0
145,33,26,0,7,0
146,32,25,0,7,0
150,33,25,0,8,0
161,36,28,0,8,0
177,37,31,0,6,0
182,38,32,0,6,0
184,38,33,0,5,0
187,39,34,0,5,0
188,38,33,0,5,0
203,41,34,0,7,0
216,42,32,0,10,0
217,41,32,0,9,0
218,42,33,0,9,0
221,42,32,0,10,0
222,42,32,0,10,0
226,43,33,0,10,0
230,45,34,0,11,0
234,45,34,0,11,0
239,44,33,0,11,0
243,45,33,0,12,0
244,46,34,0,12,0
245,47,35,0,12,0
255,47,36,0,11,0
257,48,36,0,12,0
263,48,35,0,13,0
264,49,36,0,13,0
267,49,36,0,13,0
275,48,36,0,12,0
291,48,36,0,12,0
292,48,36,0,12,0
296,52,40,0,12,0
306,54,41,0,13,0
308,53,41,0,12,0
312,53,41,0,12,0
314,53,41,0,12,0
317,52,40,0,12,0
318,51,40,0,11,0
319,51,40,0,11,0
327,49,39,0,10,0
328,48,38,0,10,0
342,54,43,0,11,0
344,54,43,0,11,0
345,57,46,0,11,0
354,53,42,0,11,0
355,53,42,0,11,0
356,53,42,0,11,0
364,53,43,0,10,0
376,50,39,0,11,0
378,50,39,0,11,0
379,50,39,0,11,0
398,55,41,0,14,0
408,52,39,0,13,0
409,53,40,0,13,0
436,51,40,0,11,0
437,52,40,0,12,0
442,53,40,0,13,0
445,52,39,0,13,0
458,55,42,0,13,0
475,56,43,0,13,0
478,54,42,0,12,0
482,54,42,0,12,0
484,55,43,0,12,0
489,57,45,0,12,0
493,59,45,0,14,0
494,59,45,0,14,0
497,58,45,0,13,0
498,57,44,0,13,0
509,56,41,0,15,0
512,56,41,0,15,0
513,55,40,0,15,0
522,55,41,0,14,0
525,53,39,0,14,0
531,53,39,0,14,0
533,53,39,0,14,0
544,58,42,0,16,0
545,58,42,0,16,0
558,55,40,0,15,0
577,54,40,0,14,0
587,52,39,0,13,0
598,58,42,0,16,0
601,60,44,0,16,0
605,60,43,0,17,0
610,59,42,0,17,0
612,59,42,0,17,0
613,59,42,0,17,0
615,59,42,0,17,0
620,59,42,0,17,0
631,58,42,0,16,0
639,61,44,0,17,0
648,61,45,0,16,0
659,59,46,0,13,0
667,57,46,0,11,0
668,57,46,0,11,0
671,57,46,0,11,0
680,57,45,0,12,0
682,57,45,0,12,0
684,55,43,0,12,0
692,57,44,0,13,0
695,58,45,0,13,0
698,58,45,0,13,0
718,54,44,0,10,0
723,56,45,0,11,0
727,57,45,0,12,0
728,57,45,0,12,0
735,55,44,0,11,0
738,57,45,0,12,0
740,56,44,0,12,0
741,57,45,0,12,0
749,60,46,0,14,0
768,60,45,0,15,0
