
;Type;Machines;Agents;StorageCap;InputCap;OutputCap;Parent;Level

0;Man;[1, 1];[0,0];3;2;2;5;0

1;Man;[2, 3];[1,1];3;2;2;5;0

2;Man;[4,4];[0,0];3;2;2;6;0

3;Man;[5,6];[0,0];3;2;2;6;0

4;Man;[7];[0];2;1;1;7;0

5;Dist;[];[0,0];4;3;3;7;1

6;Dist;[];[0,0];4;2;2;7;1

7;Dist;[];[0,0,0];4;3;3;;2
