
;Type;Machines;Agents;StorageCap;InputCap;OutputCap;Parent;Level

0;Man;[1, 1];[10,3];3;2;2;5;0

1;Man;[2, 3];[3,3];3;2;2;5;0

2;Man;[4,4];[3,3];3;2;2;6;0

3;Man;[5,6];[3,3];3;2;2;6;0

4;Man;[7];[3];2;1;1;7;0

5;Dist;[];[3,3];4;3;3;7;1

6;Dist;[];[3,3];4;3;3;7;1

7;Dist;[];[3,3,3];4;3;3;;2
